State,Year,Quarter,District,Register_users,App_opens
andaman-&-nicobar-islands,2018,1,north_and_middle_andaman_district,632,0
andaman-&-nicobar-islands,2018,1,south_andaman_district,5846,0
andaman-&-nicobar-islands,2018,1,nicobars_district,262,0
andaman-&-nicobar-islands,2018,2,north_and_middle_andaman_district,911,0
andaman-&-nicobar-islands,2018,2,south_andaman_district,8143,0
andaman-&-nicobar-islands,2018,2,nicobars_district,351,0
andaman-&-nicobar-islands,2018,3,north_and_middle_andaman_district,1208,0
andaman-&-nicobar-islands,2018,3,south_andaman_district,10474,0
andaman-&-nicobar-islands,2018,3,nicobars_district,467,0
andaman-&-nicobar-islands,2018,4,north_and_middle_andaman_district,1553,0
andaman-&-nicobar-islands,2018,4,south_andaman_district,13133,0
andaman-&-nicobar-islands,2018,4,nicobars_district,536,0
andaman-&-nicobar-islands,2019,1,north_and_middle_andaman_district,2013,0
andaman-&-nicobar-islands,2019,1,south_andaman_district,15961,0
andaman-&-nicobar-islands,2019,1,nicobars_district,622,0
andaman-&-nicobar-islands,2019,2,north_and_middle_andaman_district,2417,6118
andaman-&-nicobar-islands,2019,2,south_andaman_district,18621,43569
andaman-&-nicobar-islands,2019,2,nicobars_district,693,2953
andaman-&-nicobar-islands,2019,3,north_and_middle_andaman_district,2662,22064
andaman-&-nicobar-islands,2019,3,south_andaman_district,20518,138190
andaman-&-nicobar-islands,2019,3,nicobars_district,751,10853
andaman-&-nicobar-islands,2019,4,north_and_middle_andaman_district,2955,26253
andaman-&-nicobar-islands,2019,4,south_andaman_district,22202,139646
andaman-&-nicobar-islands,2019,4,nicobars_district,803,11113
andaman-&-nicobar-islands,2020,1,north_and_middle_andaman_district,3315,30444
andaman-&-nicobar-islands,2020,1,south_andaman_district,24174,151529
andaman-&-nicobar-islands,2020,1,nicobars_district,879,11613
andaman-&-nicobar-islands,2020,2,north_and_middle_andaman_district,4100,56992
andaman-&-nicobar-islands,2020,2,south_andaman_district,27626,231071
andaman-&-nicobar-islands,2020,2,nicobars_district,984,17009
andaman-&-nicobar-islands,2020,3,north_and_middle_andaman_district,5355,76553
andaman-&-nicobar-islands,2020,3,south_andaman_district,34833,417785
andaman-&-nicobar-islands,2020,3,nicobars_district,1147,21227
andaman-&-nicobar-islands,2020,4,north_and_middle_andaman_district,7076,125915
andaman-&-nicobar-islands,2020,4,south_andaman_district,43908,725321
andaman-&-nicobar-islands,2020,4,nicobars_district,1412,35972
andaman-&-nicobar-islands,2021,1,north_and_middle_andaman_district,7833,121680
andaman-&-nicobar-islands,2021,1,south_andaman_district,48352,837589
andaman-&-nicobar-islands,2021,1,nicobars_district,1573,45067
andaman-&-nicobar-islands,2021,2,north_and_middle_andaman_district,8493,596182
andaman-&-nicobar-islands,2021,2,south_andaman_district,51903,1270226
andaman-&-nicobar-islands,2021,2,nicobars_district,1699,381815
andaman-&-nicobar-islands,2021,3,north_and_middle_andaman_district,9263,759314
andaman-&-nicobar-islands,2021,3,south_andaman_district,55873,1771107
andaman-&-nicobar-islands,2021,3,nicobars_district,1846,591204
andaman-&-nicobar-islands,2021,4,north_and_middle_andaman_district,10002,171921
andaman-&-nicobar-islands,2021,4,south_andaman_district,59807,1863037
andaman-&-nicobar-islands,2021,4,nicobars_district,1971,77952
andaman-&-nicobar-islands,2022,1,north_and_middle_andaman_district,10720,904869
andaman-&-nicobar-islands,2022,1,south_andaman_district,63487,2368756
andaman-&-nicobar-islands,2022,1,nicobars_district,2081,573782
andaman-&-nicobar-islands,2022,2,north_and_middle_andaman_district,11379,963824
andaman-&-nicobar-islands,2022,2,south_andaman_district,66959,3404740
andaman-&-nicobar-islands,2022,2,nicobars_district,2192,811449
andaman-&-nicobar-islands,2022,3,north_and_middle_andaman_district,11897,1176567
andaman-&-nicobar-islands,2022,3,south_andaman_district,70445,3607286
andaman-&-nicobar-islands,2022,3,nicobars_district,2300,1284501
andaman-&-nicobar-islands,2022,4,north_and_middle_andaman_district,12361,313502
andaman-&-nicobar-islands,2022,4,south_andaman_district,73692,3881359
andaman-&-nicobar-islands,2022,4,nicobars_district,2389,159232
andaman-&-nicobar-islands,2023,1,north_and_middle_andaman_district,12941,3103047
andaman-&-nicobar-islands,2023,1,south_andaman_district,77052,5450795
andaman-&-nicobar-islands,2023,1,nicobars_district,2491,2458822
andaman-&-nicobar-islands,2023,2,north_and_middle_andaman_district,13600,3174229
andaman-&-nicobar-islands,2023,2,south_andaman_district,80112,6884657
andaman-&-nicobar-islands,2023,2,nicobars_district,2617,4679790
andaman-&-nicobar-islands,2023,3,north_and_middle_andaman_district,14216,7130284
andaman-&-nicobar-islands,2023,3,south_andaman_district,83305,5950899
andaman-&-nicobar-islands,2023,3,nicobars_district,2734,7463896
andaman-&-nicobar-islands,2023,4,north_and_middle_andaman_district,14813,1869462
andaman-&-nicobar-islands,2023,4,south_andaman_district,86348,7452861
andaman-&-nicobar-islands,2023,4,nicobars_district,2817,523637
andaman-&-nicobar-islands,2024,1,north_and_middle_andaman_district,15539,9022450
andaman-&-nicobar-islands,2024,1,south_andaman_district,89907,12147903
andaman-&-nicobar-islands,2024,1,nicobars_district,2965,7368398
andaman-&-nicobar-islands,2024,2,north_and_middle_andaman_district,16183,6159746
andaman-&-nicobar-islands,2024,2,south_andaman_district,93421,6749599
andaman-&-nicobar-islands,2024,2,nicobars_district,3083,3967538
andaman-&-nicobar-islands,2024,3,north_and_middle_andaman_district,21728,9789799
andaman-&-nicobar-islands,2024,3,south_andaman_district,143250,6545536
andaman-&-nicobar-islands,2024,3,nicobar_district,7495,3219511
andaman-&-nicobar-islands,2024,4,north_and_middle_andaman_district,22547,2194985
andaman-&-nicobar-islands,2024,4,south_andaman_district,148543,15101583
andaman-&-nicobar-islands,2024,4,nicobar_district,7698,1395115
andhra-pradesh,2018,1,east_godavari_district,350356,0
andhra-pradesh,2018,1,srikakulam_district,143839,0
andhra-pradesh,2018,1,visakhapatnam_district,497187,0
andhra-pradesh,2018,1,prakasam_district,189949,0
andhra-pradesh,2018,1,anantapur_district,241192,0
andhra-pradesh,2018,1,kurnool_district,240133,0
andhra-pradesh,2018,1,guntur_district,317065,0
andhra-pradesh,2018,1,krishna_district,323673,0
andhra-pradesh,2018,1,spsr_nellore_district,194475,0
andhra-pradesh,2018,1,vizianagaram_district,128905,0
andhra-pradesh,2018,1,ysr_district,186800,0
andhra-pradesh,2018,1,west_godavari_district,213335,0
andhra-pradesh,2018,1,chittoor_district,309541,0
andhra-pradesh,2018,2,east_godavari_district,454398,0
andhra-pradesh,2018,2,srikakulam_district,186913,0
andhra-pradesh,2018,2,visakhapatnam_district,636052,0
andhra-pradesh,2018,2,prakasam_district,253458,0
andhra-pradesh,2018,2,anantapur_district,326383,0
andhra-pradesh,2018,2,kurnool_district,319313,0
andhra-pradesh,2018,2,guntur_district,420326,0
andhra-pradesh,2018,2,krishna_district,431965,0
andhra-pradesh,2018,2,spsr_nellore_district,261049,0
andhra-pradesh,2018,2,vizianagaram_district,167327,0
andhra-pradesh,2018,2,ysr_district,248657,0
andhra-pradesh,2018,2,west_godavari_district,282393,0
andhra-pradesh,2018,2,chittoor_district,414306,0
andhra-pradesh,2018,3,east_godavari_district,558982,0
andhra-pradesh,2018,3,srikakulam_district,228456,0
andhra-pradesh,2018,3,visakhapatnam_district,769096,0
andhra-pradesh,2018,3,prakasam_district,314899,0
andhra-pradesh,2018,3,anantapur_district,405855,0
andhra-pradesh,2018,3,kurnool_district,394311,0
andhra-pradesh,2018,3,guntur_district,518931,0
andhra-pradesh,2018,3,krishna_district,537086,0
andhra-pradesh,2018,3,spsr_nellore_district,322446,0
andhra-pradesh,2018,3,vizianagaram_district,203655,0
andhra-pradesh,2018,3,ysr_district,308391,0
andhra-pradesh,2018,3,west_godavari_district,349782,0
andhra-pradesh,2018,3,chittoor_district,515727,0
andhra-pradesh,2018,4,east_godavari_district,694455,0
andhra-pradesh,2018,4,srikakulam_district,284874,0
andhra-pradesh,2018,4,visakhapatnam_district,978288,0
andhra-pradesh,2018,4,prakasam_district,394962,0
andhra-pradesh,2018,4,anantapur_district,510892,0
andhra-pradesh,2018,4,kurnool_district,498582,0
andhra-pradesh,2018,4,guntur_district,659552,0
andhra-pradesh,2018,4,krishna_district,682479,0
andhra-pradesh,2018,4,spsr_nellore_district,407495,0
andhra-pradesh,2018,4,vizianagaram_district,257824,0
andhra-pradesh,2018,4,ysr_district,387058,0
andhra-pradesh,2018,4,west_godavari_district,435668,0
andhra-pradesh,2018,4,chittoor_district,665280,0
andhra-pradesh,2019,1,east_godavari_district,839277,0
andhra-pradesh,2019,1,srikakulam_district,345775,0
andhra-pradesh,2019,1,visakhapatnam_district,1174517,0
andhra-pradesh,2019,1,prakasam_district,474260,0
andhra-pradesh,2019,1,anantapur_district,612162,0
andhra-pradesh,2019,1,kurnool_district,599422,0
andhra-pradesh,2019,1,guntur_district,802394,0
andhra-pradesh,2019,1,krishna_district,833694,0
andhra-pradesh,2019,1,spsr_nellore_district,491908,0
andhra-pradesh,2019,1,vizianagaram_district,313334,0
andhra-pradesh,2019,1,ysr_district,460590,0
andhra-pradesh,2019,1,west_godavari_district,523372,0
andhra-pradesh,2019,1,chittoor_district,812314,0
andhra-pradesh,2019,2,east_godavari_district,945181,7156762
andhra-pradesh,2019,2,srikakulam_district,392764,3230330
andhra-pradesh,2019,2,visakhapatnam_district,1318740,13681907
andhra-pradesh,2019,2,prakasam_district,539462,4488365
andhra-pradesh,2019,2,anantapur_district,695114,6056591
andhra-pradesh,2019,2,kurnool_district,680118,6240480
andhra-pradesh,2019,2,guntur_district,915256,7268875
andhra-pradesh,2019,2,krishna_district,952300,7822632
andhra-pradesh,2019,2,spsr_nellore_district,558303,4774473
andhra-pradesh,2019,2,vizianagaram_district,355058,3541678
andhra-pradesh,2019,2,ysr_district,519031,4345848
andhra-pradesh,2019,2,west_godavari_district,592185,3853094
andhra-pradesh,2019,2,chittoor_district,925491,8914216
andhra-pradesh,2019,3,east_godavari_district,1057167,28275322
andhra-pradesh,2019,3,srikakulam_district,437939,11813195
andhra-pradesh,2019,3,visakhapatnam_district,1460464,54836001
andhra-pradesh,2019,3,prakasam_district,598568,16267041
andhra-pradesh,2019,3,anantapur_district,773656,22845084
andhra-pradesh,2019,3,kurnool_district,755024,22827473
andhra-pradesh,2019,3,guntur_district,1026418,28477132
andhra-pradesh,2019,3,krishna_district,1066546,30077671
andhra-pradesh,2019,3,spsr_nellore_district,619592,17768733
andhra-pradesh,2019,3,vizianagaram_district,394375,13065845
andhra-pradesh,2019,3,ysr_district,574109,15833900
andhra-pradesh,2019,3,west_godavari_district,662102,14227407
andhra-pradesh,2019,3,chittoor_district,1032733,34638738
andhra-pradesh,2019,4,east_godavari_district,1195228,38299189
andhra-pradesh,2019,4,srikakulam_district,496266,16353822
andhra-pradesh,2019,4,visakhapatnam_district,1620235,70749983
andhra-pradesh,2019,4,prakasam_district,673522,21639748
andhra-pradesh,2019,4,anantapur_district,873033,30278539
andhra-pradesh,2019,4,kurnool_district,846885,29676997
andhra-pradesh,2019,4,guntur_district,1158708,37846179
andhra-pradesh,2019,4,krishna_district,1199971,39407473
andhra-pradesh,2019,4,spsr_nellore_district,697154,23608360
andhra-pradesh,2019,4,vizianagaram_district,443810,17515311
andhra-pradesh,2019,4,ysr_district,646642,21543798
andhra-pradesh,2019,4,west_godavari_district,750078,19393528
andhra-pradesh,2019,4,chittoor_district,1156351,44888591
andhra-pradesh,2020,1,east_godavari_district,1329664,46142746
andhra-pradesh,2020,1,srikakulam_district,552007,20975989
andhra-pradesh,2020,1,visakhapatnam_district,1763581,77558624
andhra-pradesh,2020,1,prakasam_district,748655,26870693
andhra-pradesh,2020,1,anantapur_district,971850,36900103
andhra-pradesh,2020,1,kurnool_district,936293,34198350
andhra-pradesh,2020,1,guntur_district,1289678,45282758
andhra-pradesh,2020,1,krishna_district,1331602,46079408
andhra-pradesh,2020,1,spsr_nellore_district,775440,28879364
andhra-pradesh,2020,1,vizianagaram_district,490683,21562104
andhra-pradesh,2020,1,ysr_district,717865,26166193
andhra-pradesh,2020,1,west_godavari_district,843835,24542868
andhra-pradesh,2020,1,chittoor_district,1270907,51354573
andhra-pradesh,2020,2,east_godavari_district,1459116,45884498
andhra-pradesh,2020,2,srikakulam_district,608002,23808009
andhra-pradesh,2020,2,visakhapatnam_district,1904719,69684456
andhra-pradesh,2020,2,prakasam_district,830709,32255276
andhra-pradesh,2020,2,anantapur_district,1076953,39704703
andhra-pradesh,2020,2,kurnool_district,1035093,36268390
andhra-pradesh,2020,2,guntur_district,1426271,44267596
andhra-pradesh,2020,2,krishna_district,1459041,41234166
andhra-pradesh,2020,2,spsr_nellore_district,854459,30816403
andhra-pradesh,2020,2,vizianagaram_district,537798,24370380
andhra-pradesh,2020,2,ysr_district,796769,29644037
andhra-pradesh,2020,2,west_godavari_district,944829,26583613
andhra-pradesh,2020,2,chittoor_district,1385916,49820171
andhra-pradesh,2020,3,east_godavari_district,1601940,64292857
andhra-pradesh,2020,3,srikakulam_district,667858,31794753
andhra-pradesh,2020,3,visakhapatnam_district,2058346,102589371
andhra-pradesh,2020,3,prakasam_district,915240,44970519
andhra-pradesh,2020,3,anantapur_district,1186851,55714787
andhra-pradesh,2020,3,kurnool_district,1132240,49164718
andhra-pradesh,2020,3,guntur_district,1567595,62427501
andhra-pradesh,2020,3,krishna_district,1599289,61028114
andhra-pradesh,2020,3,spsr_nellore_district,937176,43951448
andhra-pradesh,2020,3,vizianagaram_district,587784,31199437
andhra-pradesh,2020,3,ysr_district,877909,41578067
andhra-pradesh,2020,3,west_godavari_district,1053674,38126238
andhra-pradesh,2020,3,chittoor_district,1506503,69462572
andhra-pradesh,2020,4,east_godavari_district,1746280,82605352
andhra-pradesh,2020,4,srikakulam_district,726761,36770992
andhra-pradesh,2020,4,visakhapatnam_district,2209658,124730170
andhra-pradesh,2020,4,prakasam_district,999462,52839846
andhra-pradesh,2020,4,anantapur_district,1295872,69562398
andhra-pradesh,2020,4,kurnool_district,1230466,60615045
andhra-pradesh,2020,4,guntur_district,1712940,81291172
andhra-pradesh,2020,4,krishna_district,1744028,81787771
andhra-pradesh,2020,4,spsr_nellore_district,1022944,54765443
andhra-pradesh,2020,4,vizianagaram_district,634462,35110885
andhra-pradesh,2020,4,ysr_district,959182,49596303
andhra-pradesh,2020,4,west_godavari_district,1163179,51170162
andhra-pradesh,2020,4,chittoor_district,1631331,88232999
andhra-pradesh,2021,1,east_godavari_district,1878769,91478749
andhra-pradesh,2021,1,srikakulam_district,782604,40590058
andhra-pradesh,2021,1,visakhapatnam_district,2368081,135908324
andhra-pradesh,2021,1,prakasam_district,1075936,56911479
andhra-pradesh,2021,1,anantapur_district,1394849,73375049
andhra-pradesh,2021,1,kurnool_district,1323411,65326230
andhra-pradesh,2021,1,guntur_district,1843237,92731167
andhra-pradesh,2021,1,krishna_district,1876458,92941553
andhra-pradesh,2021,1,spsr_nellore_district,1100541,60691988
andhra-pradesh,2021,1,vizianagaram_district,681621,37752539
andhra-pradesh,2021,1,ysr_district,1032689,53525815
andhra-pradesh,2021,1,west_godavari_district,1254117,57392671
andhra-pradesh,2021,1,chittoor_district,1751420,99083825
andhra-pradesh,2021,2,east_godavari_district,2006272,84705076
andhra-pradesh,2021,2,srikakulam_district,837958,43740255
andhra-pradesh,2021,2,visakhapatnam_district,2526830,114313154
andhra-pradesh,2021,2,prakasam_district,1151232,76850749
andhra-pradesh,2021,2,anantapur_district,1492738,104568606
andhra-pradesh,2021,2,kurnool_district,1415585,81894678
andhra-pradesh,2021,2,guntur_district,1968681,88248064
andhra-pradesh,2021,2,krishna_district,2002662,85771678
andhra-pradesh,2021,2,spsr_nellore_district,1176334,74049216
andhra-pradesh,2021,2,vizianagaram_district,729509,42684475
andhra-pradesh,2021,2,ysr_district,1103004,72255265
andhra-pradesh,2021,2,west_godavari_district,1339377,65118788
andhra-pradesh,2021,2,chittoor_district,1870723,110505432
andhra-pradesh,2021,3,east_godavari_district,2150622,103626560
andhra-pradesh,2021,3,srikakulam_district,902008,48622126
andhra-pradesh,2021,3,visakhapatnam_district,2707931,139540800
andhra-pradesh,2021,3,prakasam_district,1239147,91533813
andhra-pradesh,2021,3,anantapur_district,1606735,124985545
andhra-pradesh,2021,3,kurnool_district,1522196,101210508
andhra-pradesh,2021,3,guntur_district,2110878,106621413
andhra-pradesh,2021,3,krishna_district,2145423,104358295
andhra-pradesh,2021,3,spsr_nellore_district,1263550,90102349
andhra-pradesh,2021,3,vizianagaram_district,784444,46277311
andhra-pradesh,2021,3,ysr_district,1183377,86369956
andhra-pradesh,2021,3,west_godavari_district,1436576,80244808
andhra-pradesh,2021,3,chittoor_district,2007011,135043395
andhra-pradesh,2021,4,east_godavari_district,2294347,142536856
andhra-pradesh,2021,4,srikakulam_district,965335,61654215
andhra-pradesh,2021,4,visakhapatnam_district,2888774,188757640
andhra-pradesh,2021,4,prakasam_district,1325728,86410317
andhra-pradesh,2021,4,anantapur_district,1719437,120768682
andhra-pradesh,2021,4,kurnool_district,1628242,97379271
andhra-pradesh,2021,4,guntur_district,2252443,130920743
andhra-pradesh,2021,4,krishna_district,2288148,134436469
andhra-pradesh,2021,4,spsr_nellore_district,1349290,90814672
andhra-pradesh,2021,4,vizianagaram_district,839606,56101822
andhra-pradesh,2021,4,ysr_district,1262963,83534122
andhra-pradesh,2021,4,west_godavari_district,1532898,100007280
andhra-pradesh,2021,4,chittoor_district,2141818,154395512
andhra-pradesh,2022,1,east_godavari_district,2432305,87134562
andhra-pradesh,2022,1,srikakulam_district,1027283,46691467
andhra-pradesh,2022,1,visakhapatnam_district,3061324,88803090
andhra-pradesh,2022,1,prakasam_district,1408929,104851997
andhra-pradesh,2022,1,anantapur_district,1827094,155792533
andhra-pradesh,2022,1,kurnool_district,1729513,119653214
andhra-pradesh,2022,1,guntur_district,2387051,88844052
andhra-pradesh,2022,1,krishna_district,2423373,85871644
andhra-pradesh,2022,1,spsr_nellore_district,1431664,101671767
andhra-pradesh,2022,1,vizianagaram_district,892889,44804002
andhra-pradesh,2022,1,ysr_district,1339782,98878499
andhra-pradesh,2022,1,west_godavari_district,1626039,87642475
andhra-pradesh,2022,1,chittoor_district,2270705,144146671
andhra-pradesh,2022,2,east_godavari_district,2564165,93383888
andhra-pradesh,2022,2,srikakulam_district,1086164,51087942
andhra-pradesh,2022,2,visakhapatnam_district,3226029,93552701
andhra-pradesh,2022,2,prakasam_district,1487589,108172758
andhra-pradesh,2022,2,anantapur_district,1928213,181499094
andhra-pradesh,2022,2,kurnool_district,1825280,136447455
andhra-pradesh,2022,2,guntur_district,2514794,91997209
andhra-pradesh,2022,2,krishna_district,2552107,95341487
andhra-pradesh,2022,2,spsr_nellore_district,1509927,108755384
andhra-pradesh,2022,2,vizianagaram_district,943242,50230853
andhra-pradesh,2022,2,ysr_district,1412848,106157470
andhra-pradesh,2022,2,west_godavari_district,1714357,103338893
andhra-pradesh,2022,2,chittoor_district,2392549,158771722
andhra-pradesh,2022,3,east_godavari_district,2702234,85780890
andhra-pradesh,2022,3,srikakulam_district,1147016,46323107
andhra-pradesh,2022,3,visakhapatnam_district,3397514,87888969
andhra-pradesh,2022,3,prakasam_district,1567520,114185009
andhra-pradesh,2022,3,anantapur_district,2030824,181038520
andhra-pradesh,2022,3,kurnool_district,1924127,143715547
andhra-pradesh,2022,3,guntur_district,2647100,91146114
andhra-pradesh,2022,3,krishna_district,2685215,86220959
andhra-pradesh,2022,3,spsr_nellore_district,1588875,105928407
andhra-pradesh,2022,3,vizianagaram_district,995141,46767889
andhra-pradesh,2022,3,ysr_district,1487140,107976611
andhra-pradesh,2022,3,west_godavari_district,1805967,97509407
andhra-pradesh,2022,3,chittoor_district,2517657,162524274
andhra-pradesh,2022,4,east_godavari_district,2835087,173720880
andhra-pradesh,2022,4,srikakulam_district,1204785,72666058
andhra-pradesh,2022,4,visakhapatnam_district,3566854,208604256
andhra-pradesh,2022,4,prakasam_district,1642503,94432083
andhra-pradesh,2022,4,anantapur_district,2128066,136685634
andhra-pradesh,2022,4,kurnool_district,2018290,105333688
andhra-pradesh,2022,4,guntur_district,2774365,144773169
andhra-pradesh,2022,4,krishna_district,2813645,156902257
andhra-pradesh,2022,4,spsr_nellore_district,1663684,103101986
andhra-pradesh,2022,4,vizianagaram_district,1044490,64406405
andhra-pradesh,2022,4,ysr_district,1556901,93975668
andhra-pradesh,2022,4,west_godavari_district,1893310,129116752
andhra-pradesh,2022,4,chittoor_district,2636036,189655966
andhra-pradesh,2023,1,east_godavari_district,2965296,98931582
andhra-pradesh,2023,1,srikakulam_district,1263204,48743038
andhra-pradesh,2023,1,visakhapatnam_district,3732544,107253885
andhra-pradesh,2023,1,prakasam_district,1719910,112502189
andhra-pradesh,2023,1,anantapur_district,2228505,177793392
andhra-pradesh,2023,1,kurnool_district,2114023,149581663
andhra-pradesh,2023,1,guntur_district,2900895,103514892
andhra-pradesh,2023,1,krishna_district,2941585,98727644
andhra-pradesh,2023,1,spsr_nellore_district,1740294,111993275
andhra-pradesh,2023,1,vizianagaram_district,1094782,55519223
andhra-pradesh,2023,1,ysr_district,1628595,109842928
andhra-pradesh,2023,1,west_godavari_district,1980446,102965151
andhra-pradesh,2023,1,chittoor_district,2755784,164669558
andhra-pradesh,2023,2,east_godavari_district,3082893,101375784
andhra-pradesh,2023,2,srikakulam_district,1317771,48040159
andhra-pradesh,2023,2,visakhapatnam_district,3877504,115516314
andhra-pradesh,2023,2,prakasam_district,1792637,104288559
andhra-pradesh,2023,2,anantapur_district,2323796,164437247
andhra-pradesh,2023,2,kurnool_district,2202517,142843895
andhra-pradesh,2023,2,guntur_district,3014655,97915941
andhra-pradesh,2023,2,krishna_district,3054956,99723659
andhra-pradesh,2023,2,spsr_nellore_district,1811781,113350865
andhra-pradesh,2023,2,vizianagaram_district,1141578,55405616
andhra-pradesh,2023,2,ysr_district,1694843,98586928
andhra-pradesh,2023,2,west_godavari_district,2059880,116005083
andhra-pradesh,2023,2,chittoor_district,2865250,170462384
andhra-pradesh,2023,3,east_godavari_district,3211557,83823834
andhra-pradesh,2023,3,srikakulam_district,1375950,44064462
andhra-pradesh,2023,3,visakhapatnam_district,4035323,116087299
andhra-pradesh,2023,3,prakasam_district,1868997,94303883
andhra-pradesh,2023,3,anantapur_district,2421293,152875757
andhra-pradesh,2023,3,kurnool_district,2295754,124493256
andhra-pradesh,2023,3,guntur_district,3137289,71855007
andhra-pradesh,2023,3,krishna_district,3177643,73280755
andhra-pradesh,2023,3,spsr_nellore_district,1887005,73583227
andhra-pradesh,2023,3,vizianagaram_district,1190571,41978556
andhra-pradesh,2023,3,ysr_district,1764648,78787151
andhra-pradesh,2023,3,west_godavari_district,2146530,73274852
andhra-pradesh,2023,3,chittoor_district,2981337,129032458
andhra-pradesh,2023,4,east_godavari_district,3329036,143550882
andhra-pradesh,2023,4,srikakulam_district,1430226,48122562
andhra-pradesh,2023,4,visakhapatnam_district,4180797,163404880
andhra-pradesh,2023,4,prakasam_district,1939979,69411660
andhra-pradesh,2023,4,anantapur_district,2512744,123617506
andhra-pradesh,2023,4,kurnool_district,2383042,86461750
andhra-pradesh,2023,4,guntur_district,3251121,132403935
andhra-pradesh,2023,4,krishna_district,3291814,121925706
andhra-pradesh,2023,4,spsr_nellore_district,1956706,78993397
andhra-pradesh,2023,4,vizianagaram_district,1236735,42889385
andhra-pradesh,2023,4,ysr_district,1829864,69721701
andhra-pradesh,2023,4,west_godavari_district,2227243,86297777
andhra-pradesh,2023,4,chittoor_district,3089391,143201818
andhra-pradesh,2024,1,east_godavari_district,3465605,70700482
andhra-pradesh,2024,1,srikakulam_district,1492803,25384857
andhra-pradesh,2024,1,visakhapatnam_district,4349723,183432261
andhra-pradesh,2024,1,prakasam_district,2022873,57134465
andhra-pradesh,2024,1,anantapur_district,2619335,121235223
andhra-pradesh,2024,1,kurnool_district,2484451,115346032
andhra-pradesh,2024,1,guntur_district,3382454,82606973
andhra-pradesh,2024,1,krishna_district,3423998,59203320
andhra-pradesh,2024,1,spsr_nellore_district,2037823,73245409
andhra-pradesh,2024,1,vizianagaram_district,1289838,45744793
andhra-pradesh,2024,1,ysr_district,1905157,75306755
andhra-pradesh,2024,1,west_godavari_district,2319971,59978637
andhra-pradesh,2024,1,chittoor_district,3214678,110865896
andhra-pradesh,2024,2,east_godavari_district,3597667,70529565
andhra-pradesh,2024,2,srikakulam_district,1551988,27503934
andhra-pradesh,2024,2,visakhapatnam_district,4515738,221069497
andhra-pradesh,2024,2,prakasam_district,2099814,61269760
andhra-pradesh,2024,2,anantapur_district,2720387,120912449
andhra-pradesh,2024,2,kurnool_district,2580812,93496809
andhra-pradesh,2024,2,guntur_district,3508719,56640987
andhra-pradesh,2024,2,krishna_district,3552494,52309743
andhra-pradesh,2024,2,spsr_nellore_district,2114324,69447820
andhra-pradesh,2024,2,vizianagaram_district,1340999,48299033
andhra-pradesh,2024,2,ysr_district,1976516,59839679
andhra-pradesh,2024,2,west_godavari_district,2409237,45912661
andhra-pradesh,2024,2,chittoor_district,3335024,134049145
andhra-pradesh,2024,3,east_godavari_district,1167720,59935362
andhra-pradesh,2024,3,srikakulam_district,971036,17599044
andhra-pradesh,2024,3,visakhapatnam_district,2487971,32301176
andhra-pradesh,2024,3,sri_potti_sriramulu_nellore_district,1446214,86081128
andhra-pradesh,2024,3,kurnool_district,1209238,116758872
andhra-pradesh,2024,3,guntur_district,1695537,23423512
andhra-pradesh,2024,3,krishna_district,800410,23684301
andhra-pradesh,2024,3,annamayya_district,920716,87262138
andhra-pradesh,2024,3,ananthapuramu_district,1320379,174845086
andhra-pradesh,2024,3,vizianagaram_district,897899,32261276
andhra-pradesh,2024,3,tirupati_district,1870882,40985457
andhra-pradesh,2024,3,alluri_sitharama_raju_district,292488,178406258
andhra-pradesh,2024,3,nandyal_district,900737,72969773
andhra-pradesh,2024,3,sri_sathyasai_district,883584,98352753
andhra-pradesh,2024,3,palnadu_district,963840,76909163
andhra-pradesh,2024,3,prakasam_district,1166571,98216415
andhra-pradesh,2024,3,parvathipuram_manyam_district,301205,30111342
andhra-pradesh,2024,3,dr_br_ambedkar_konaseema_district,788204,48563272
andhra-pradesh,2024,3,bapatla_district,703301,39373168
andhra-pradesh,2024,3,ntr_district,1953695,47433380
andhra-pradesh,2024,3,kakinada_district,1293864,26508076
andhra-pradesh,2024,3,anakapalli_district,860834,29977574
andhra-pradesh,2024,3,ysr_district,1209820,71588398
andhra-pradesh,2024,3,west_godavari_district,1017107,18906686
andhra-pradesh,2024,3,eluru_district,1066558,69927623
andhra-pradesh,2024,3,chittoor_district,955493,58045203
andhra-pradesh,2024,4,east_godavari_district,1202680,70992699
andhra-pradesh,2024,4,srikakulam_district,1000848,50503455
andhra-pradesh,2024,4,visakhapatnam_district,2566650,135700425
andhra-pradesh,2024,4,sri_potti_sriramulu_nellore_district,1485904,95296811
andhra-pradesh,2024,4,kurnool_district,1243710,69757232
andhra-pradesh,2024,4,guntur_district,1749346,93254969
andhra-pradesh,2024,4,krishna_district,821763,43757281
andhra-pradesh,2024,4,annamayya_district,945246,67118152
andhra-pradesh,2024,4,ananthapuramu_district,1358486,105608573
andhra-pradesh,2024,4,vizianagaram_district,922107,53108897
andhra-pradesh,2024,4,tirupati_district,1927263,120835456
andhra-pradesh,2024,4,alluri_sitharama_raju_district,302981,32628930
andhra-pradesh,2024,4,nandyal_district,924312,52595448
andhra-pradesh,2024,4,sri_sathyasai_district,905055,105894571
andhra-pradesh,2024,4,palnadu_district,988882,59206517
andhra-pradesh,2024,4,prakasam_district,1199895,69401816
andhra-pradesh,2024,4,parvathipuram_manyam_district,308844,15107951
